image_id,exists
ISIC_0024306,True
ISIC_0024307,True
ISIC_0024308,True
ISIC_0024309,True
ISIC_0024310,True
ISIC_0024311,True
ISIC_0024312,True
ISIC_0024313,True
ISIC_0024314,True
ISIC_0024315,True
ISIC_0024316,True
ISIC_0024317,True
ISIC_0024318,True
ISIC_0024319,True
ISIC_0024320,True
ISIC_0024321,True
ISIC_0024322,True
ISIC_0024323,True
ISIC_0024324,True
ISIC_0024325,True
ISIC_0024326,True
ISIC_0024327,True
ISIC_0024328,True
ISIC_0024329,True
ISIC_0024330,True
ISIC_0024331,True
ISIC_0024332,True
ISIC_0024333,True
ISIC_0024334,True
ISIC_0024335,True
ISIC_0024336,True
ISIC_0024337,True
ISIC_0024338,True
ISIC_0024339,True
ISIC_0024340,True
ISIC_0024341,True
ISIC_0024342,True
ISIC_0024343,True
ISIC_0024344,True
ISIC_0024345,True
ISIC_0024346,True
ISIC_0024347,True
ISIC_0024348,True
ISIC_0024349,True
ISIC_0024350,True
ISIC_0024351,True
ISIC_0024352,True
ISIC_0024353,True
ISIC_0024354,True
ISIC_0024355,True
ISIC_0024356,True
ISIC_0024357,True
ISIC_0024358,True
ISIC_0024359,True
ISIC_0024360,True
ISIC_0024361,True
ISIC_0024362,True
ISIC_0024363,True
ISIC_0024364,True
ISIC_0024365,True
ISIC_0024366,True
ISIC_0024367,True
ISIC_0024368,True
ISIC_0024369,True
ISIC_0024370,True
ISIC_0024371,True
ISIC_0024372,True
ISIC_0024373,True
ISIC_0024374,True
ISIC_0024375,True
ISIC_0024376,True
ISIC_0024377,True
ISIC_0024378,True
ISIC_0024379,True
ISIC_0024380,True
ISIC_0024381,True
ISIC_0024382,True
ISIC_0024383,True
ISIC_0024384,True
ISIC_0024385,True
ISIC_0024386,True
ISIC_0024387,True
ISIC_0024388,True
ISIC_0024389,True
ISIC_0024390,True
ISIC_0024391,True
ISIC_0024392,True
ISIC_0024393,True
ISIC_0024394,True
ISIC_0024395,True
ISIC_0024396,True
ISIC_0024397,True
ISIC_0024398,True
ISIC_0024399,True
ISIC_0024400,True
ISIC_0024401,True
ISIC_0024402,True
ISIC_0024403,True
ISIC_0024404,True
ISIC_0024405,True
ISIC_0024406,True
ISIC_0024407,True
ISIC_0024408,True
ISIC_0024409,True
ISIC_0024410,True
ISIC_0024411,True
ISIC_0024412,True
ISIC_0024413,True
ISIC_0024414,True
ISIC_0024415,True
ISIC_0024416,True
ISIC_0024417,True
ISIC_0024418,True
ISIC_0024419,True
ISIC_0024420,True
ISIC_0024421,True
ISIC_0024422,True
ISIC_0024423,True
ISIC_0024424,True
ISIC_0024425,True
ISIC_0024426,True
ISIC_0024427,True
ISIC_0024428,True
ISIC_0024429,True
ISIC_0024430,True
ISIC_0024431,True
ISIC_0024432,True
ISIC_0024433,True
ISIC_0024434,True
ISIC_0024435,True
ISIC_0024436,True
ISIC_0024437,True
ISIC_0024438,True
ISIC_0024439,True
ISIC_0024440,True
ISIC_0024441,True
ISIC_0024442,True
ISIC_0024443,True
ISIC_0024444,True
ISIC_0024445,True
ISIC_0024446,True
ISIC_0024447,True
ISIC_0024448,True
ISIC_0024449,True
ISIC_0024450,True
ISIC_0024451,True
ISIC_0024452,True
ISIC_0024453,True
ISIC_0024454,True
ISIC_0024455,True
ISIC_0024456,True
ISIC_0024457,True
ISIC_0024458,True
ISIC_0024459,True
ISIC_0024460,True
ISIC_0024461,True
ISIC_0024462,True
ISIC_0024463,True
